predictions_real_xgb,position_xgb
94030.72,4.0
91568.72,1.0
92957.18,3.0
97407.35,10.0
98669.44,12.0
97773.1,11.0
95276.555,7.0
96306.41,8.0
91716.53,2.0
94506.51,5.0
95203.53,6.0
97013.17,9.0
100464.23,14.0
99614.86,13.0
118083.73,15.0
