predictions_real_xgb,position_xgb
89586.93,5.0
90118.44,8.0
89596.53,6.0
89537.85,3.0
91145.3,12.0
90123.945,9.0
90405.49,10.0
91008.14,11.0
89562.19,4.0
89758.67,7.0
89495.195,1.0
89522.41,2.0
93499.125,13.0
103938.08,14.0
109310.33,15.0
