predictions_real_xgb,position_xgb
103756.5,7.0
104893.1,14.0
98989.63,5.0
106065.03,15.0
102263.695,6.0
104115.086,10.0
104033.164,9.0
96676.766,1.0
104585.7,13.0
104115.086,10.0
104200.92,12.0
96969.76,2.0
103992.48,8.0
98175.8,4.0
97713.81,3.0
