predictions_real_xgb,position_xgb
100159.69,11.0
98858.77,6.0
100775.25,13.0
98982.37,7.0
93465.5,3.0
103300.53,14.0
99016.84,8.0
93024.7,1.0
93409.21,2.0
99088.99,9.0
99131.73,10.0
98022.34,4.0
98728.58,5.0
106201.6,15.0
100757.375,12.0
