predictions_real_xgb,position_xgb
91015.24,3.0
92405.34,5.0
99841.055,9.0
94962.27,8.0
92676.61,6.0
93704.97,7.0
100331.04,10.0
102898.695,11.0
103109.266,12.0
104167.27,14.0
90832.64,2.0
90660.305,1.0
91627.484,4.0
104006.9,13.0
107633.14,15.0
