predictions_real_xgb,position_xgb
106395.81,15.0
102878.9,6.0
103609.555,9.0
100632.34,3.0
104589.43,10.0
105759.85,14.0
105548.32,13.0
103109.44,7.0
104851.03,11.0
100283.3,2.0
101370.336,4.0
104917.88,12.0
103482.55,8.0
102540.7,5.0
100196.9,1.0
