predictions_real_xgb,position_xgb
103022.5,6.0
104526.16,10.0
97720.98,3.0
105494.47,13.0
111625.96,15.0
96208.56,1.0
103928.266,8.0
97358.555,2.0
104422.43,9.0
102431.84,5.0
103101.77,7.0
104608.59,11.0
108615.8,14.0
105218.945,12.0
101907.24,4.0
