qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,q2
8805,1055,840,117,11,2021,4,4,catalunya,77974.0
8829,1056,847,3,15,2021,5,6,monaco,71830.0
8828,1056,8,51,14,2021,5,6,monaco,71642.0
8831,1056,4,214,17,2021,5,6,monaco,0.0
8830,1056,852,213,16,2021,5,6,monaco,0.0
8827,1056,840,117,13,2021,5,6,monaco,71600.0
8826,1056,817,1,12,2021,5,6,monaco,71598.0
8825,1056,839,214,11,2021,5,6,monaco,71486.0
8824,1056,841,51,10,2021,5,6,monaco,71409.0
8832,1056,849,3,18,2021,5,6,monaco,0.0
8823,1056,815,9,9,2021,5,6,monaco,71019.0
8821,1056,1,131,7,2021,5,6,monaco,71116.0
8820,1056,842,213,6,2021,5,6,monaco,71179.0
8818,1056,832,6,4,2021,5,6,monaco,70806.0
8817,1056,822,131,3,2021,5,6,monaco,70695.0
8816,1056,830,9,2,2021,5,6,monaco,70650.0
8815,1056,844,6,1,2021,5,6,monaco,70597.0
8822,1056,20,117,8,2021,5,6,monaco,71309.0
8833,1056,853,210,19,2021,5,6,monaco,0.0
8819,1056,846,1,5,2021,5,6,monaco,71031.0
8834,1057,844,6,1,2021,6,73,baku,101659.0
8837,1057,842,213,4,2021,6,73,baku,101932.0
8838,1057,832,6,5,2021,6,73,baku,101740.0
8839,1057,846,1,6,2021,6,73,baku,101813.0
8840,1057,815,9,7,2021,6,73,baku,101630.0
8853,1057,841,51,20,2021,6,73,baku,0.0
8841,1057,852,213,8,2021,6,73,baku,101654.0
8842,1057,4,214,9,2021,6,73,baku,102195.0
8843,1057,822,131,10,2021,6,73,baku,102106.0
8844,1057,20,117,11,2021,6,73,baku,102224.0
8836,1057,830,9,3,2021,6,73,baku,101625.0
8846,1057,817,1,13,2021,6,73,baku,102558.0
8847,1057,8,51,14,2021,6,73,baku,102587.0
8848,1057,847,3,15,2021,6,73,baku,102758.0
8835,1057,1,131,2,2021,6,73,baku,101634.0
8849,1057,849,3,16,2021,6,73,baku,0.0
8850,1057,854,210,17,2021,6,73,baku,0.0
8851,1057,853,210,18,2021,6,73,baku,0.0
8852,1057,840,117,19,2021,6,73,baku,0.0
8845,1057,839,214,12,2021,6,73,baku,102273.0
8886,1058,817,1,13,2021,8,70,red_bull_ring,64808.00000000001
8887,1058,20,117,14,2021,8,70,red_bull_ring,64875.0
8888,1058,841,51,15,2021,8,70,red_bull_ring,64913.0
8893,1058,853,210,20,2021,8,70,red_bull_ring,0.0
8890,1058,839,214,17,2021,8,70,red_bull_ring,0.0
8891,1058,8,51,18,2021,8,70,red_bull_ring,0.0
8892,1058,854,210,19,2021,8,70,red_bull_ring,0.0
8889,1058,849,3,16,2021,8,70,red_bull_ring,0.0
8885,1058,832,6,12,2021,8,70,red_bull_ring,64800.0
8884,1058,847,3,11,2021,8,70,red_bull_ring,64671.00000000001
8882,1058,4,214,9,2021,8,70,red_bull_ring,64581.99999999999
8874,1058,830,9,1,2021,8,70,red_bull_ring,64433.00000000001
8875,1058,822,131,2,2021,8,70,red_bull_ring,64443.0
8876,1058,1,131,3,2021,8,70,red_bull_ring,64512.0
8877,1058,846,1,4,2021,8,70,red_bull_ring,64298.0
8883,1058,840,117,10,2021,8,70,red_bull_ring,64663.0
8879,1058,842,213,6,2021,8,70,red_bull_ring,64429.0
