predictions_real_xgb,position_xgb
101876.62,4.0
102206.46,5.0
102472.18,6.0
103464.88,10.0
97445.52,2.0
103440.04,8.0
103969.35,13.0
103841.664,12.0
103981.52,14.0
98927.336,3.0
104404.66,15.0
103715.86,11.0
103454.766,9.0
103073.016,7.0
96914.445,1.0
