driverid,driverref
493,ryan
494,ruby
495,ken_miles
496,menditeguy
497,larreta
498,gonzalez
499,bonomi
500,munaron
501,schell
502,stacey
503,chimeri
504,creus
505,bristow
506,halford
507,daigh
508,reventlow
509,rathmann
510,goldsmith
511,branson
512,thomson
513,johnson
514,veith
515,tingelstad
516,christie
517,amick
518,darter
519,homeier
520,hartley
521,stevenson
522,grim
523,templeman
524,hurtubise
525,bryan
526,ruttman
527,sachs
528,freeland
529,bettenhausen
530,weiler
531,foyt
532,russo
533,boyd
534,force
535,mcwithey
536,sutton
537,dick_rathmann
538,herman
539,dempsey_wilson
540,mike_taylor
541,flockhart
542,piper
543,cabianca
544,drogo
545,gamble
546,owen
547,gould
548,drake
549,bueb
550,Changy
551,filippis
552,lucienbonnet
553,testut
554,behra
555,paul_russo
556,daywalt
557,arnold
558,keller
559,flaherty
560,cheesbourg
561,ray_crawford
562,turner
563,weyant
564,larson
565,magill
566,shelby
567,orey
568,fontes
569,ashdown
570,bill_moss
571,dennis_taylor
572,blanchard
573,tomaso
574,constantine
575,said
576,cade
577,musso
578,hawthorn
579,fangio
580,godia
581,collins
582,kavanagh
583,gerini
584,kessler
585,emery
586,piotti
587,ecclestone
588,taramazzo
589,chiron
590,lewis-evans
591,george_amick
592,reece
593,parsons
594,tolan
595,garrett
596,elisian
597,connor
598,jerry_unser
599,bisch
600,goethals
601,gibson
602,la_caze
603,guelfi
604,picard
605,bridger
606,portago
607,perdisa
608,castellotti
609,simon
610,leston
611,hanks
612,linden
613,teague
614,edmunds
615,agabashian
616,george
617,macdowel
618,mackay-fraser
619,gerard
620,maglioli
621,england
622,landi
623,uria
624,ramos
625,bayol
626,manzon
627,rosier
628,sweikert
629,griffith
630,dinsmore
631,andrews
632,frere
633,villoresi
634,scotti
635,chapman
636,titterington
637,scott_Brown
638,volonterio
639,milhoux
640,graffenried
641,taruffi
642,farina
643,mieres
644,mantovani
645,bucci
646,iglesias
647,ascari
648,kling
649,birger
650,pollet
651,macklin
652,whiteaway
653,davies
654,faulkner
655,niday
656,cross
657,vukovich
658,mcgrath
659,hoyt
660,claes
661,peter_walker
662,sparken
663,wharton
664,mcalpine
665,marr
666,rolt
667,fitch
668,lucas
669,bira
670,marimon
671,loyer
672,daponte
673,nazaruk
674,crockett
675,ayulo
676,armi
677,webb
678,duncan
679,mccoy
680,swaters
681,georges_berger
682,beauman
683,thorne
684,whitehouse
685,riseley_prichard
686,reg_parnell
687,whitehead
688,brandon
689,alan_brown
690,nuckey
691,lang
692,helfrich
693,wacker
694,riu
695,galvez
696,john_barber
697,bonetto
698,cruz
699,nalon
700,scarborough
701,holland
702,bob_scott
703,legat
704,cabantous
705,crook
706,jimmy_stewart
707,ian_stewart
708,duncan_hamilton
709,klodwig
710,krause
711,karch
712,heeks
713,fitzau
714,adolff
715,bechem
716,bauer
717,hans_stuck
718,loof
719,scherrer
720,terra
721,hirt
722,carini
723,fischer
724,ulmen
725,abecassis
726,george_connor
727,rigsby
728,james
729,schindler
730,fonder
731,banks
732,mcdowell
733,miller
734,ball
735,tornaco
736,laurent
737,obrien
738,gaze
739,charrington
740,comotti
741,etancelin
742,poore
743,thompson
744,downing
745,graham_whitehead
746,bianco
747,murray
748,cantoni
749,aston
750,brudes
751,riess
752,niedermayr
753,klenk
754,balsa
755,schoeller
756,pietsch
757,peters
758,lof
759,flinterman
760,dusio
761,crespo
762,rol
763,sanesi
764,guy_mairesse
765,louveau
766,wallard
767,forberg
768,rose
769,mackey
770,green
771,walt_brown
772,hellings
773,levegh
774,chaboud
775,gordini
776,kelly
777,parker
778,shawe_taylor
779,john_james
780,branca
781,richardson
782,jover
783,grignard
784,hampshire
785,crossley
786,fagioli
787,harrison
788,fry
789,martin
790,leslie_johnson
791,biondetti
792,pian
793,sommer
794,chitwood
795,fohr
796,ader
797,holmes
798,levrett
799,jackson
800,pagani
801,pozzi
802,serafini
803,cantrell
804,mantz
805,kladis
806,oscar_gonzalez
807,hulkenberg
808,petrov
810,grassi
811,bruno_senna
812,chandhok
813,maldonado
814,resta
815,perez
816,ambrosio
817,ricciardo
818,vergne
819,pic
820,chilton
821,gutierrez
822,bottas
823,garde
824,jules_bianchi
825,kevin_magnussen
826,kvyat
827,lotterer
828,ericsson
829,stevens
830,max_verstappen
831,nasr
832,sainz
833,merhi
834,rossi
835,jolyon_palmer
836,wehrlein
837,haryanto
838,vandoorne
839,ocon
840,stroll
841,giovinazzi
843,brendon_hartley
844,leclerc
845,sirotkin
846,norris
847,russell
848,albon
849,latifi
850,pietro_fittipaldi
851,aitken
852,tsunoda
853,mazepin
854,mick_schumacher
855,zhou
856,de_vries
857,piastri
858,sargeant
